x ,y
30.45,4.36695028
30.5,4.36678194
30.55,4.36661296
30.6,4.36644333
30.65,4.36627305
30.7,4.36610213
30.75,4.36593057
30.8,4.36575838
30.85,4.36558556
30.9,4.36541211
30.95,4.36523803
31,4.36506333
31.05,4.36488802
31.1,4.36471209
31.15,4.36453555
31.2,4.3643584
31.25,4.36418065
31.3,4.3640023
31.35,4.36382335
31.4,4.3636438
31.45,4.36346366
31.5,4.36328293
31.55,4.36310162
31.6,4.36291973
31.65,4.36273725
31.7,4.3625542
31.75,4.36237058
31.8,4.36218638
31.85,4.36200162
31.9,4.36181629
31.95,4.3616304
32,4.36144396
32.05,4.36125695
32.1,4.3610694
32.15,4.36088129
32.2,4.36069264
32.25,4.36050344
32.3,4.3603137
32.35,4.36012342
32.4,4.3599326
32.45,4.35974125
32.5,4.35954937
32.55,4.35935697
32.6,4.35916403
32.65,4.35897058
32.7,4.3587766
32.75,4.3585821
32.8,4.3583871
32.85,4.35819157
32.9,4.35799554
32.95,4.357799
33,4.35760196
33.05,4.35740441
33.1,4.35720636
33.15,4.35700781
33.2,4.35680877
33.25,4.35660924
33.3,4.35640922
33.35,4.3562087
33.4,4.35600771
33.45,4.35580623
33.5,4.35560426
33.55,4.35540182
33.6,4.35519891
33.65,4.35499552
33.7,4.35479165
33.75,4.35458732
33.8,4.35438252
33.85,4.35417725
33.9,4.35397153
33.95,4.35376534
34,4.35355869
34.05,4.35335158
34.1,4.35314403
34.15,4.35293602
34.2,4.35272755
34.25,4.35251865
34.3,4.35230929
34.35,4.35209949
34.4,4.35188925
34.45,4.35167857
34.5,4.35146745
34.55,4.3512559
34.6,4.35104391
34.65,4.35083149
34.7,4.35061864
34.75,4.35040536
34.8,4.35019166
34.85,4.34997753
34.9,4.34976298
34.95,4.34954801
35,4.34933263
35.05,4.34911682
35.1,4.3489006
35.15,4.34868397
35.2,4.34846693
35.25,4.34824947
35.3,4.34803161
35.35,4.34781335
35.4,4.34759468
35.45,4.34737561
35.5,4.34715614
35.55,4.34693627
35.6,4.346716
35.65,4.34649534
35.7,4.34627429
35.75,4.34605284
35.8,4.34583101
35.85,4.34560878
35.9,4.34538617
35.95,4.34516317
36,4.3449398
